ticket_description,category,priority
"Hardware device not recognized by system after the latest system update, this is a moderate impact issue (ticket 8523)",Hardware,Medium
"Printer does not respond to commands affecting critical business operations, this is a needs attention issue (ticket 8524)",Hardware,Medium
"Laptop overheats after long usage on the office laptop, this is a low impact issue (ticket 8525)",Hardware,Low
"Monitor screen keeps flickering affecting critical business operations, this is a affects productivity issue (ticket 8526)",Hardware,Medium
"Laptop overheats after long usage for multiple users in the same department, this is a urgent issue (ticket 8527)",Hardware,High
"Hardware device not recognized by system affecting critical business operations, this is a critical issue issue (ticket 8528)",Hardware,High
"Battery drains unusually fast reported by several employees, this is a moderate impact issue (ticket 8529)",Hardware,Medium
"Hard disk failure warning appears during peak working hours, this is a needs attention issue (ticket 8530)",Hardware,Medium
"Hardware device not recognized by system after the latest system update, this is a occasionally issue (ticket 8531)",Hardware,Low
"Monitor screen keeps flickering intermittently throughout the day, this is a urgent issue (ticket 8532)",Hardware,High
"Battery drains unusually fast intermittently throughout the day, this is a affects productivity issue (ticket 8533)",Hardware,Medium
"Laptop overheats after long usage intermittently throughout the day, this is a needs attention issue (ticket 8534)",Hardware,Medium
"Printer does not respond to commands when connected to office network, this is a low impact issue (ticket 8535)",Hardware,Low
"Hard disk failure warning appears reported by several employees, this is a affects productivity issue (ticket 8536)",Hardware,Medium
"Laptop overheats after long usage on the office laptop, this is a moderate impact issue (ticket 8537)",Hardware,Medium
"Hardware device not recognized by system affecting critical business operations, this is a non-critical issue (ticket 8538)",Hardware,Low
"Hardware device not recognized by system intermittently throughout the day, this is a affects productivity issue (ticket 8539)",Hardware,Medium
"Hard disk failure warning appears for multiple users in the same department, this is a minor issue (ticket 8540)",Hardware,Low
"Laptop overheats after long usage when connected to office network, this is a non-critical issue (ticket 8541)",Hardware,Low
"Printer does not respond to commands reported by several employees, this is a affects productivity issue (ticket 8542)",Hardware,Medium
"Hardware device not recognized by system during peak working hours, this is a system down issue (ticket 8543)",Hardware,High
"Several keyboard keys are not functioning during peak working hours, this is a affects productivity issue (ticket 8544)",Hardware,Medium
"Hard disk failure warning appears affecting critical business operations, this is a needs attention issue (ticket 8545)",Hardware,Medium
"Laptop overheats after long usage since this morning, this is a system down issue (ticket 8546)",Hardware,High
"Monitor screen keeps flickering after recent configuration changes, this is a minor issue (ticket 8547)",Hardware,Low
"Several keyboard keys are not functioning affecting critical business operations, this is a moderate impact issue (ticket 8548)",Hardware,Medium
"Printer does not respond to commands reported by several employees, this is a affects productivity issue (ticket 8549)",Hardware,Medium
"Battery drains unusually fast after recent configuration changes, this is a minor issue (ticket 8550)",Hardware,Low
"Battery drains unusually fast during peak working hours, this is a moderate impact issue (ticket 8551)",Hardware,Medium
"Hardware device not recognized by system reported by several employees, this is a moderate impact issue (ticket 8552)",Hardware,Medium
"Hard disk failure warning appears reported by several employees, this is a system down issue (ticket 8553)",Hardware,High
"Hard disk failure warning appears during peak working hours, this is a needs attention issue (ticket 8554)",Hardware,Medium
"Battery drains unusually fast when connected to office network, this is a system down issue (ticket 8555)",Hardware,High
"Several keyboard keys are not functioning affecting critical business operations, this is a moderate impact issue (ticket 8556)",Hardware,Medium
"Printer does not respond to commands affecting critical business operations, this is a affects productivity issue (ticket 8557)",Hardware,Medium
"Printer does not respond to commands intermittently throughout the day, this is a moderate impact issue (ticket 8558)",Hardware,Medium
"Hardware device not recognized by system reported by several employees, this is a moderate impact issue (ticket 8559)",Hardware,Medium
"Battery drains unusually fast during peak working hours, this is a needs attention issue (ticket 8560)",Hardware,Medium
"Hardware device not recognized by system on the office laptop, this is a blocking operations issue (ticket 8561)",Hardware,High
"Hard disk failure warning appears on the office laptop, this is a minor issue (ticket 8562)",Hardware,Low
"Battery drains unusually fast since this morning, this is a needs attention issue (ticket 8563)",Hardware,Medium
"Printer does not respond to commands for multiple users in the same department, this is a moderate impact issue (ticket 8564)",Hardware,Medium
"Hardware device not recognized by system for multiple users in the same department, this is a needs attention issue (ticket 8565)",Hardware,Medium
"Hard disk failure warning appears for multiple users in the same department, this is a urgent issue (ticket 8566)",Hardware,High
"Monitor screen keeps flickering during peak working hours, this is a critical issue issue (ticket 8567)",Hardware,High
"Hard disk failure warning appears when connected to office network, this is a affects productivity issue (ticket 8568)",Hardware,Medium
"Battery drains unusually fast when connected to office network, this is a non-critical issue (ticket 8569)",Hardware,Low
"Monitor screen keeps flickering on the office laptop, this is a low impact issue (ticket 8570)",Hardware,Low
